Word(s),Spoken Form (If Different)
1Password,one password
admin
Aoibheann,aveen
app
append
apps
brokenflows
Cian,keean
Cian,keyin
Cian,kian
Cian,name can
Cisco
Citrix
cul de sac,called the sack
cul de sac,cull the sack
Darren
DNS
git
github,git hub
Hey
Hi
hub
knausj,nicej
knausj,nousej
Lorcan
Minecraft
mint
mintty
misc,misk
msys2,emmsis2
Niall,niall
Niall,niel
Niall,NIYael
Niamh,neev
nmap
nmap,N map
Orna
Power BI,Power Be I
rant
rants
remap
Sheelagh,sheila
Siobhan,javan
talon
under-documented,under documented
vim
VPN
WhatsApp
